Date,OPEX,Action,Position,Strike,Option_Price,Stock,Delta,Gamma,ATM_Gamma,Hedge,Cash,Option_PnL,Hedge_PnL,Financing_PnL,Commission,Net_PnL
2025-02-21,2025-04,ENTER,SHORT,7178.3,700.0,7150.0,-0.6135176151669433,0.0002716310353799807,0.00028547749669949926,6135,-36865250.0,0.0,0.0,0.0,40538.47625,-40538.47625
2025-02-24,2025-04,REBALANCE,SHORT,7178.3,648.4,7070.0,0.5800665350176336,0.0002722175200377852,0.00029266627566891594,5801,-34582650.53424658,0.0,-490800.0,-78780.53424657535,41967.11115,-611547.6453965753
2025-02-25,2025-04,REBALANCE,SHORT,7178.3,580.0,6990.0,0.5533174972368831,0.00028658528672418477,0.00030221755465057316,5533,-32733017.281187847,0.0,-954880.0,-102467.28118784013,43100.46975,-1100447.75093784
2025-02-26,2025-04,REBALANCE,SHORT,7178.3,649.0,7140.0,0.6094083225252018,0.0002935399950173539,0.0002948335927118652,6094,-36765461.131008,0.0,-124930.0,-129371.13100799453,45523.821449999996,-299824.9524579945
2025-02-27,2025-04,REBALANCE,SHORT,7178.3,495.0,6820.0,0.5148674550967672,0.0003043496233545528,0.00031018397928922616,5149,-30351786.591146663,0.0,-2075010.0,-160596.59114665884,49422.985949999995,-2285029.5770966588
2025-02-28,2025-04,REBALANCE,SHORT,7178.3,569.91,6930.0,0.5406505882022914,0.0002816789254128786,0.00029474668487578345,5407,-32163010.15346316,0.0,-1508620.0,-183880.15346315491,50504.68964999999,-1743004.843113155
2025-03-05,2025-04,REBALANCE,SHORT,7178.3,698.0,7180.0,0.6064109343542576,0.0002688032289221748,0.0002856535015337971,6064,-37012490.966436505,0.0,-156870.0,-316100.9664365014,53358.631949999995,-526329.5983865014
2025-03-06,2025-04,REBALANCE,SHORT,7178.3,612.005,7070.0,0.5790862832420944,0.0002910276432471039,0.0002928067468563664,5791,-35114830.27358516,0.0,-823910.0,-348550.27358515805,54526.34849999999,-1226986.622085158
2025-03-07,2025-04,REBALANCE,SHORT,7178.3,580.0,7040.0,0.5515978542323932,0.00028618099918592657,0.0003094209119374091,5516,-33201919.477052726,0.0,-997640.0,-371639.4770527209,55697.62849999999,-1424977.1055527208
2025-03-10,2025-04,REBALANCE,SHORT,7178.3,381.0,6620.0,0.4267472525371849,0.00029483004347920645,0.0003392618813698245,4267,-24999033.674377322,0.0,-3314360.0,-437133.67437731806,60699.99839999999,-3812193.672777318
2025-03-11,2025-04,REBALANCE,SHORT,7178.3,379.0,6690.0,0.4393334590079556,0.0003130113808389171,0.00033180540100725026,4393,-25859096.30018169,0.0,-3015670.0,-454256.30018168606,61209.97709999999,-3531136.2772816857
2025-03-12,2025-04,REBALANCE,SHORT,7178.3,560.0,7110.0,0.571129838391688,0.0003156846922870124,0.0003216536031731255,5711,-35249559.1809558,0.0,-1170610.0,-473739.1809557956,66879.41999999998,-1711228.6009557955
2025-03-13,2025-04,REBALANCE,SHORT,7178.3,519.9,7070.0,0.5594463580331872,0.0003323612645806943,0.00033676059943557954,5594,-34450375.680031076,0.0,-1399050.0,-501745.6800310755,67379.86994999998,-1968175.5499810756
2025-03-14,2025-04,REBALANCE,SHORT,7178.3,683.99,7380.0,0.6613634689069005,0.00031146611218323817,0.0003234544179534545,6614,-42005819.13434781,0.0,335090.0,-529589.134347813,71934.06794999998,-266433.20229781297
2025-03-17,2025-04,REBALANCE,SHORT,7178.3,669.87,7320.0,0.6245984646046185,0.00029568171064995165,0.00032899244682578515,6246,-39402239.29838528,0.0,-61750.0,-619769.2983852786,73563.79274999998,-755083.0911352786
2025-03-18,2025-04,REBALANCE,SHORT,7178.3,537.0,7120.0,0.5730653445016368,0.0003339952262591681,0.0003406319975774323,5731,-35770523.48406192,0.0,-1310950.0,-654853.484061923,75782.20674999998,-2041585.6908119228
2025-03-19,2025-04,REBALANCE,SHORT,7178.3,738.88,7470.0,0.6759179542206194,0.0002940794444834118,0.00033146223184376243,6759,-43478103.89998076,0.0,694900.0,-683273.8999807667,80428.09854999998,-68801.99853076668
2025-03-20,2025-04,REBALANCE,SHORT,7178.3,580.0,7270.0,0.6122629604353705,0.00033847841868503013,0.000359150441875111,6123,-38887141.375521846,0.0,-656900.0,-716031.3755218481,83225.44914999999,-1456156.824671848
2025-03-21,2025-04,REBALANCE,SHORT,7178.3,720.0,7540.0,0.7260454110801413,0.0003266882408409659,0.0003633965830358833,7260,-47495812.31349664,0.0,996310.0,-751722.3134966422,88412.10204999999,156175.58445335785
2025-03-25,2025-04,REBALANCE,SHORT,7178.3,765.0,7650.0,0.7565314574500541,0.00031571593586611653,0.00038345557193720977,7565,-49993020.46011309,0.0,1794910.0,-915680.4601130963,89823.7183,789405.8215869038
2025-03-26,2025-04,REBALANCE,SHORT,7178.3,616.0,7480.0,0.70596846697389,0.0003790625903349271,0.00042494840396781154,7060,-46258765.12160607,0.0,508860.0,-958825.1216060705,92109.0453,-542074.1669060705
2025-03-27,2025-04,REBALANCE,SHORT,7178.3,497.0,7310.0,0.6228804058157673,0.00041333632810975675,0.00046123220021331354,6229,-40216472.889019795,0.0,-691340.0,-991142.8890197953,95784.18435,-1778267.0733697952
