Date,Portfolio_Value,Strategy
2025-02-21,1000000.0,CALL
2025-04-15,993018.2320398616,CALL
2025-06-18,1020304.2687309685,CALL
2025-08-13,1062084.6962594246,CALL
2025-10-16,976839.592048242,CALL
2025-12-18,1043902.9726566174,CALL
2025-02-21,1000000.0,PUT
2025-04-15,958763.5045802216,PUT
2025-06-18,1006141.1801571588,PUT
2025-08-13,1072605.3992012735,PUT
2025-10-16,872961.7595308126,PUT
2025-12-18,1004129.0867490176,PUT
2025-02-21,1000000.0,STRADDLE
2025-04-15,1007830.9759602371,STRADDLE
2025-06-18,1056278.2968519852,STRADDLE
2025-08-13,1387852.6588557374,STRADDLE
2025-10-16,907755.0725662143,STRADDLE
2025-12-18,925129.837659366,STRADDLE
2025-02-21,1000000.0,STRANGLE
2025-04-15,888963.1103725667,STRANGLE
2025-06-18,963838.4109719764,STRANGLE
2025-08-13,1252479.991911526,STRANGLE
2025-10-16,1100795.657802352,STRANGLE
2025-12-18,1168235.300734107,STRANGLE
2025-02-21,1000000.0,LONG_STOCK
2025-02-24,986674.202509819,LONG_STOCK
2025-02-25,974800.4598141584,LONG_STOCK
2025-02-26,994957.5629849603,LONG_STOCK
2025-02-27,949353.0031612223,LONG_STOCK
2025-02-28,963970.4952581665,LONG_STOCK
2025-03-05,994824.5713190918,LONG_STOCK
2025-03-06,978563.2436057094,LONG_STOCK
2025-03-07,973709.9051633298,LONG_STOCK
2025-03-10,912996.0436823451,LONG_STOCK
2025-03-11,922101.3219657055,LONG_STOCK
2025-03-12,980089.15604943,LONG_STOCK
2025-03-13,973700.2299070793,LONG_STOCK
2025-03-14,1016248.6540856404,LONG_STOCK
2025-03-17,1005710.1963789634,LONG_STOCK
2025-03-18,976847.7574480315,LONG_STOCK
2025-03-19,1025004.2858511353,LONG_STOCK
2025-03-20,996278.8332215729,LONG_STOCK
2025-03-21,1033123.2627646327,LONG_STOCK
2025-03-25,1045055.8233547274,LONG_STOCK
2025-03-26,1020416.5858798735,LONG_STOCK
2025-03-27,995941.7319666635,LONG_STOCK
2025-03-28,995111.5949803621,LONG_STOCK
2025-03-31,971831.2041383275,LONG_STOCK
2025-04-01,983624.0961777947,LONG_STOCK
2025-04-03,957024.0655235176,LONG_STOCK
2025-04-04,868199.8486445062,LONG_STOCK
2025-04-07,826819.8314014752,LONG_STOCK
2025-04-08,837227.5466998755,LONG_STOCK
2025-04-09,939765.4200593927,LONG_STOCK
2025-04-10,895364.941086311,LONG_STOCK
2025-04-11,971137.333077881,LONG_STOCK
2025-04-14,1037779.7317750741,LONG_STOCK
2025-04-15,993455.9651307596,LONG_STOCK
2025-04-16,944862.4216879011,LONG_STOCK
2025-04-21,908174.0415748635,LONG_STOCK
2025-04-22,968772.7770859278,LONG_STOCK
2025-04-23,1009963.4217836957,LONG_STOCK
2025-04-24,1009206.9834275313,LONG_STOCK
2025-04-25,1012553.4725548425,LONG_STOCK
2025-04-28,984666.318612894,LONG_STOCK
2025-04-29,964370.8305393236,LONG_STOCK
2025-04-30,949487.5562793372,LONG_STOCK
2025-05-05,915322.4063607625,LONG_STOCK
2025-05-06,931228.9108152122,LONG_STOCK
2025-05-07,888462.649679088,LONG_STOCK
2025-05-08,893152.9456844525,LONG_STOCK
2025-05-09,883939.419484625,LONG_STOCK
2025-05-12,952884.5291694606,LONG_STOCK
2025-05-13,954914.3347063896,LONG_STOCK
2025-05-14,944247.4125874126,LONG_STOCK
2025-05-15,934951.6946067631,LONG_STOCK
2025-05-16,950986.9661845005,LONG_STOCK
2025-05-19,962589.4185266788,LONG_STOCK
2025-05-20,963152.403486924,LONG_STOCK
2025-05-21,938690.9742312483,LONG_STOCK
2025-05-22,932274.6508286234,LONG_STOCK
2025-05-23,949729.6196953731,LONG_STOCK
2025-05-26,947509.6196953731,LONG_STOCK
2025-05-27,931323.634447744,LONG_STOCK
2025-05-28,917996.2218603315,LONG_STOCK
2025-05-29,893343.2857553406,LONG_STOCK
2025-05-30,892603.5597279433,LONG_STOCK
2025-06-02,865414.214005173,LONG_STOCK
2025-06-03,867498.8140626496,LONG_STOCK
2025-06-04,821949.0487594598,LONG_STOCK
2025-06-05,825336.6337771817,LONG_STOCK
2025-06-06,841270.8094645081,LONG_STOCK
