Model,Equation,α0/β0,RV_d,RV_w,RV_m,ADJ R2,MAPE,MAE,MSE,RBV_d,RBV_w,RBV_m,TRBV_d,TRBV_w,TRBV_m,C_d,C_w,C_m,J_d,J_w,J_m,TC_d,TC_w,TC_m,TJ_d,TJ_w,TJ_m
HAR-RV,19,-0.96434***,0.14927***,0.25799***,0.33447***,0.21782,23.37902,0.00578,7.67E-05,,,,,,,,,,,,,,,,,,
HAR-RBV,19,-0.92097***,,,,0.21417,23.54290,0.00583,7.71E-05,0.14805***,0.29208***,0.30034***,,,,,,,,,,,,,,,
HAR-TRBV,19,-0.92097***,,,,0.21417,23.54290,0.00583,7.71E-05,,,,0.14805***,0.29208***,0.30034***,,,,,,,,,,,,
HAR-CJ-RBV,20,-1.62600***,,,,0.21966,23.31163,0.00576,7.62E-05,,,,,,,0.14398***,0.23303***,0.21200**,1.35023,2.80415,13.07996*,,,,,,
HAR-TCJ-RBV,21,-1.62600***,,,,0.21966,23.31163,0.00576,7.62E-05,,,,,,,,,,,,,0.14398***,0.23303***,0.21200**,1.35023,2.80415,13.07996*
LOG-HAR-RV,22,-0.96434***,0.14927***,0.25799***,0.33447***,0.21782,23.37902,0.00578,7.67E-05,,,,,,,,,,,,,,,,,,
LOG-HAR-RBV,22,-0.92097***,,,,0.21417,23.54290,0.00583,7.71E-05,0.14805***,0.29208***,0.30034***,,,,,,,,,,,,,,,
LOG-HAR-TRBV,22,-0.92097***,,,,0.21417,23.54290,0.00583,7.71E-05,,,,0.14805***,0.29208***,0.30034***,,,,,,,,,,,,
LOG-HAR-CJ-RBV,23,-1.62600***,,,,0.21966,23.31163,0.00576,7.62E-05,,,,,,,0.14398***,0.23303***,0.21200**,1.35023,2.80415,13.07996*,,,,,,
LOG-HAR-TCJ-RBV,24,-1.62600***,,,,0.21966,23.31163,0.00576,7.62E-05,,,,,,,,,,,,,0.14398***,0.23303***,0.21200**,1.35023,2.80415,13.07996*
