model,model_short,data_freq,horizon,n_features,Train_Size,Test_Size,Train_Start,Train_End,Test_Start,Test_End,R2_InSample,MSE_InSample,RMSE_InSample,MAE_InSample,MAPE_InSample,DirAcc_InSample,R2_OutSample,MSE_OutSample,RMSE_OutSample,MAE_OutSample,MAPE_OutSample,Correlation_OutSample,DirAcc_OutSample,features,coefficients,intercept,target_col
10min_HAR-RV,HAR-RV,10min,1d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.22888145025260842,7.307826100450404e-05,0.008548582397362971,0.00566482796295905,23.218000924707464,0.46618357487922707,0.29714387994909797,0.00010349855903092713,0.010173424154675117,0.006493801857873126,23.117579693487713,0.46224826536039987,0.46859903381642515,"['RV_d', 'RV_w', 'RV_m']","{'RV_d': 0.16026881049365815, 'RV_w': 0.27364101782976863, 'RV_m': 0.30631227720345483}",-0.9724649972722155,y_1d
10min_HAR-RBV,HAR-RBV,10min,1d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.22417733144390228,7.364161782143563e-05,0.008581469444182368,0.005718855543037358,23.395169545705592,0.48429951690821255,0.3044857064036103,0.00010199250862544276,0.010099134053246485,0.006501812540746653,23.130454891039093,0.47281352165559737,0.45893719806763283,"['RBV_d', 'RBV_w', 'RBV_m']","{'RBV_d': 0.16049188474436063, 'RBV_w': 0.29842487135673246, 'RBV_m': 0.27745112332150823}",-0.939719189574054,y_1d
10min_HAR-TRBV,HAR-TRBV,10min,1d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.22417733144390228,7.364161782143563e-05,0.008581469444182368,0.005718855543037358,23.395169545705592,0.48429951690821255,0.3044857064036103,0.00010199250862544276,0.010099134053246485,0.006501812540746653,23.130454891039093,0.47281352165559737,0.45893719806763283,"['TRBV_d', 'TRBV_w', 'TRBV_m']","{'TRBV_d': 0.16049188474436063, 'TRBV_w': 0.29842487135673246, 'TRBV_m': 0.27745112332150823}",-0.939719189574054,y_1d
10min_HAR-CJ-RBV,HAR-CJ-RBV,10min,1d,5,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.23206112790546696,7.260824841172415e-05,0.008521047377624663,0.00564572366226486,23.143239994383297,0.46256038647342995,0.2872076969699223,0.00010442297343503496,0.010218755963180398,0.00652047169972873,23.114361314673314,0.45625214721000573,0.4830917874396135,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w']","{'C_RBV_d': 0.1553193339102006, 'C_RBV_w': 0.21651319700987154, 'C_RBV_m': 0.2951228868297775, 'J_RBV_d': 1.6820374546596717, 'J_RBV_w': 7.166202355930388}",-1.2692349902197146,y_1d
10min_HAR-TCJ-RBV,HAR-TCJ-RBV,10min,1d,5,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.23206112790546696,7.260824841172415e-05,0.008521047377624663,0.00564572366226486,23.143239994383297,0.46256038647342995,0.2872076969699223,0.00010442297343503496,0.010218755963180398,0.00652047169972873,23.114361314673314,0.45625214721000573,0.4830917874396135,"['C_TRBV_d', 'C_TRBV_w', 'C_TRBV_m', 'J_TRBV_d', 'J_TRBV_w']","{'C_TRBV_d': 0.1553193339102006, 'C_TRBV_w': 0.21651319700987154, 'C_TRBV_m': 0.2951228868297775, 'J_TRBV_d': 1.6820374546596717, 'J_TRBV_w': 7.166202355930388}",-1.2692349902197146,y_1d
10min_HAR-RV-IV,HAR-RV-IV,10min,1d,4,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.24467344051716533,7.187687434411188e-05,0.008478023020970862,0.005607451415986977,22.944990629100396,0.48792270531400966,0.3131707612947202,0.00010114654746508888,0.010057163987182911,0.006423912393816052,23.021758510532564,0.4829269997038074,0.4492753623188406,"['RV_d', 'RV_w', 'RV_m', 'IV_d']","{'RV_d': 0.14160116521479035, 'RV_w': 0.23298339621192354, 'RV_m': 0.2175223786774891, 'IV_d': 0.16548054932585005}",-1.3990846645246129,y_1d
10min_HAR-RBV-IV,HAR-RBV-IV,10min,1d,4,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.2413397092619236,7.227383507048516e-05,0.008501401947354634,0.005640817581255296,23.04696290580768,0.48429951690821255,0.3218090364602806,9.968865776250336e-05,0.0099844207524775,0.006428821154490603,23.033468883019957,0.49246307937106454,0.4492753623188406,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d']","{'RBV_d': 0.1408668840252812, 'RBV_w': 0.2534998362230702, 'RBV_m': 0.18638485906156, 'IV_d': 0.1721774960775334}",-1.39926504412571,y_1d
10min_HAR-RV-IV-Full,HAR-RV-IV-Full,10min,1d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.24507083475703306,7.18838523943266e-05,0.008478434548566532,0.005609549738692405,22.950833036212252,0.4891304347826087,0.3142022525284698,0.00010111350361699311,0.010055521051491718,0.006426137992213158,23.038157337009533,0.4833326591652446,0.46859903381642515,"['RV_d', 'RV_w', 'RV_m', 'IV_d', 'IV_w', 'IV_m']","{'RV_d': 0.14460246225854828, 'RV_w': 0.22216839092603724, 'RV_m': 0.2169543267219325, 'IV_d': 0.12213314894170277, 'IV_w': 0.07045586021465977, 'IV_m': -0.01898529041252367}",-1.4241935436407234,y_1d
10min_HAR-RBV-IV-Full,HAR-RBV-IV-Full,10min,1d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.24186400259398044,7.226370029320347e-05,0.008500805861399462,0.005638772274592019,23.035647748551806,0.47705314009661837,0.32216095637149134,9.973634383663219e-05,0.009986808491036172,0.00643512798698943,23.069814034607774,0.492307388748936,0.45893719806763283,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d', 'IV_w', 'IV_m']","{'RBV_d': 0.1448561638828413, 'RBV_w': 0.2414900925297931, 'RBV_m': 0.18164100004733608, 'IV_d': 0.12110467405210887, 'IV_w': 0.07667032142609911, 'IV_m': -0.013184217887461616}",-1.438297875532486,y_1d
10min_HAR-CJ-RBV-IV,HAR-CJ-RBV-IV,10min,1d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.24761681516359657,7.142382936720352e-05,0.008451261998494872,0.005587205884905676,22.873497710220708,0.4867149758454106,0.3049496964376094,0.00010204319320022,0.010101643094082268,0.006440747233696087,22.99350994478246,0.47561246058837775,0.463768115942029,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w', 'IV_d']","{'C_RBV_d': 0.13664128675919338, 'C_RBV_w': 0.18366199186630883, 'C_RBV_m': 0.20617805636042127, 'J_RBV_d': 1.6287330632635155, 'J_RBV_w': 6.193803322307999, 'IV_d': 0.16441336311195837}",-1.6695587840339163,y_1d
10min_HAR-RV,HAR-RV,10min,5d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3368201142850584,2.8765929075215043e-05,0.0053633878356142625,0.0038961236943964228,15.917830981120733,0.47342995169082125,0.37759513508557097,4.5419052731835994e-05,0.006739365899833307,0.004468230942087989,16.63326992225675,0.5184472758734493,0.41545893719806765,"['RV_d', 'RV_w', 'RV_m']","{'RV_d': 0.10023304786714134, 'RV_w': 0.258699654934659, 'RV_m': 0.3103196596748675}",-1.2372466359621126,y_5d
10min_HAR-RBV,HAR-RBV,10min,5d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3267309422369934,2.9249105243852208e-05,0.005408244192328247,0.003942314408175996,16.092800722877367,0.46980676328502413,0.39461347387583734,4.4207316219475916e-05,0.006648858264354559,0.004456688743142584,16.586042317068433,0.5373376786446376,0.4492753623188406,"['RBV_d', 'RBV_w', 'RBV_m']","{'RBV_d': 0.09524166900351193, 'RBV_w': 0.29041147987996613, 'RBV_m': 0.2770335853572271}",-1.2195036853261878,y_5d
10min_HAR-TRBV,HAR-TRBV,10min,5d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3267309422369934,2.9249105243852208e-05,0.005408244192328247,0.003942314408175996,16.092800722877367,0.46980676328502413,0.39461347387583734,4.4207316219475916e-05,0.006648858264354559,0.004456688743142584,16.586042317068433,0.5373376786446376,0.4492753623188406,"['TRBV_d', 'TRBV_w', 'TRBV_m']","{'TRBV_d': 0.09524166900351193, 'TRBV_w': 0.29041147987996613, 'TRBV_m': 0.2770335853572271}",-1.2195036853261878,y_5d
10min_HAR-CJ-RBV,HAR-CJ-RBV,10min,5d,5,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.33496166319814535,2.8759730568508518e-05,0.005362809950810165,0.0038884007296494066,15.909923293742045,0.46980676328502413,0.37255935877194335,4.589310312441349e-05,0.006774444857286351,0.004508341583116728,16.708279921008735,0.5141863086664324,0.4492753623188406,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w']","{'C_RBV_d': 0.09086425065763035, 'C_RBV_w': 0.2311729424537955, 'C_RBV_m': 0.2900169463912149, 'J_RBV_d': 1.3866137743615532, 'J_RBV_w': 5.078817197284971}",-1.4599466048485952,y_5d
10min_HAR-TCJ-RBV,HAR-TCJ-RBV,10min,5d,5,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.33496166319814535,2.8759730568508518e-05,0.005362809950810165,0.0038884007296494066,15.909923293742045,0.46980676328502413,0.37255935877194335,4.589310312441349e-05,0.006774444857286351,0.004508341583116728,16.708279921008735,0.5141863086664324,0.4492753623188406,"['C_TRBV_d', 'C_TRBV_w', 'C_TRBV_m', 'J_TRBV_d', 'J_TRBV_w']","{'C_TRBV_d': 0.09086425065763035, 'C_TRBV_w': 0.2311729424537955, 'C_TRBV_m': 0.2900169463912149, 'J_TRBV_d': 1.3866137743615532, 'J_TRBV_w': 5.078817197284971}",-1.4599466048485952,y_5d
10min_HAR-RV-IV,HAR-RV-IV,10min,5d,4,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.37387920370029093,2.7345809167948625e-05,0.005229322056246739,0.003804904398518548,15.533404220953933,0.47342995169082125,0.4113953128239767,4.31463812374809e-05,0.0065685905061497706,0.004397732696479224,16.507541778706596,0.5519962999676946,0.42028985507246375,"['RV_d', 'RV_w', 'RV_m', 'IV_d']","{'RV_d': 0.07944498781546351, 'RV_w': 0.213423827848586, 'RV_m': 0.21144432135731217, 'IV_d': 0.1842771032651136}",-1.7123250472767495,y_5d
