iter	RMSE
0	0.1922828139
1	0.1909377871
2	0.1897972972
3	0.1885996298
4	0.1872373742
5	0.1859553966
6	0.1846685103
7	0.1834482349
8	0.1822885129
9	0.181235165
10	0.1801050728
11	0.1790034536
12	0.177862957
13	0.1767781059
14	0.1756214744
15	0.17450922
16	0.1736396675
17	0.1727068414
18	0.1717034038
19	0.1708531129
20	0.1700615352
21	0.1692811188
22	0.168469114
23	0.1678296549
24	0.167073026
25	0.1662757559
26	0.1656113337
27	0.1648678752
28	0.164108909
29	0.1634407449
30	0.1627131547
31	0.1620153379
32	0.1613756091
33	0.1607138218
34	0.160032086
35	0.1593187352
36	0.1587647036
37	0.1581572891
38	0.1576211821
39	0.1569682588
40	0.1564388141
41	0.1558160777
42	0.1552489816
43	0.1546876101
44	0.1541579066
45	0.1535991026
46	0.1530354665
47	0.1525769357
48	0.152065799
49	0.1515747452
50	0.1511673103
51	0.1507080845
52	0.1502609087
53	0.14989707
54	0.1495630399
55	0.149113708
56	0.1486322348
57	0.148314448
58	0.1480457959
59	0.1477205269
60	0.1473041903
61	0.1469397994
62	0.1466482036
63	0.1463623245
64	0.1460144586
65	0.1457023263
66	0.1453362239
67	0.145012706
68	0.1446730895
69	0.1443408475
70	0.1440209816
71	0.1437194257
72	0.1433707326
73	0.1431237549
74	0.1428144783
75	0.1425856327
76	0.1423134636
77	0.1420505169
78	0.1417959005
79	0.1415447795
80	0.1413767886
81	0.1411496256
82	0.1409761147
83	0.1407090957
84	0.1405177129
85	0.1402954822
86	0.1400975982
87	0.1398979372
88	0.1396372094
89	0.1394004624
90	0.1391794293
91	0.1390310107
92	0.13881382
93	0.138609705
94	0.1383374498
95	0.1381473119
96	0.1379683887
97	0.1378030023
98	0.1376449625
99	0.1374704621
