iter	Passed	Remaining
0	2	226
1	3	158
2	3	117
3	4	116
4	6	121
5	8	129
6	9	121
7	9	114
8	11	114
9	12	109
10	13	105
11	13	101
12	14	99
13	15	96
14	16	94
15	17	91
16	18	89
17	19	88
18	20	86
19	21	85
20	22	83
21	23	82
22	24	81
23	25	79
24	26	78
25	26	76
26	28	75
27	29	74
28	29	73
29	30	72
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	37	67
36	39	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	60
42	44	59
43	45	58
44	46	56
45	46	54
46	47	53
47	47	51
48	48	50
49	48	48
50	49	47
51	49	45
52	50	44
53	50	43
54	51	41
55	51	40
56	53	40
57	54	39
58	54	37
59	55	36
60	55	35
61	55	34
62	56	33
63	56	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	19
78	68	18
79	68	17
80	69	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	9
88	73	9
89	74	8
90	76	7
91	77	6
92	77	5
93	78	4
94	78	4
95	79	3
96	79	2
97	80	1
98	81	0
99	82	0
