Horizon,Feature,Importance,Rank
1d,RV_m,0.28549302,3
1d,RV_w,0.26371765,2
1d,IV_d,0.11508721,5
1d,RBV_d,0.065545425,4
1d,RV_d,0.06155358,1
1d,RV_cv_5d,0.035866253,11
1d,RV_pctrank,0.033505786,12
1d,RV_trend,0.03328515,7
1d,RV_vol_5d,0.028511897,9
1d,RV_mom_1d,0.026718454,6
1d,RV_range_5d,0.02608939,10
1d,VRP,0.024626099,8
22d,RV_m,0.3548474,3
22d,IV_d,0.18745285,5
22d,RV_w,0.15828499,2
22d,VRP,0.061649486,8
22d,RV_range_5d,0.052913513,10
22d,RV_pctrank,0.049625915,12
22d,RV_d,0.042889223,1
22d,RV_vol_5d,0.033539638,9
22d,RV_trend,0.021148251,7
22d,RBV_d,0.017537445,4
22d,RV_mom_1d,0.011907363,6
22d,RV_cv_5d,0.008203933,11
5d,RV_m,0.40077004,3
5d,IV_d,0.19353934,5
5d,RV_w,0.15562384,2
5d,RBV_d,0.09041262,4
5d,RV_d,0.0542252,1
5d,RV_trend,0.04135238,7
5d,VRP,0.03679736,8
5d,RV_mom_1d,0.027279254,6
