Model,Horizon,Test_MSE,Train_MSE,Test_MAPE,Test_R2
Ridge,1d,9.652518029473894e-05,7.2943296137732e-05,23.044537165189404,0.33540722815269086
BayesRidge,1d,9.722881710263035e-05,7.349700069052892e-05,22.880259525641904,0.33702708109631574
RF,1d,9.864925155363352e-05,6.408441381163529e-05,22.858180640253305,0.3298876412334385
XGB,1d,0.0001012271134651712,6.751572448234431e-05,22.39594784997558,0.320114739571539
CatBoost,1d,0.00010078776694804116,7.116421738021036e-05,22.385802451938606,0.3242523413447652
Ridge,5d,4.43019706979072e-05,2.7101304686064204e-05,16.6914825814897,0.41995825838393364
BayesRidge,5d,4.432810230312777e-05,2.7129515357043198e-05,16.710443245572996,0.41929952725866637
RF,5d,4.201298845905392e-05,2.208356566601796e-05,16.336149380344068,0.4573663734650196
XGB,5d,4.236372903869297e-05,2.3781050045422604e-05,16.17451256661727,0.4492714731345566
CatBoost,5d,4.320432037704306e-05,2.548747174817677e-05,16.69544051814043,0.43186880991786203
LGB,5d,4.1787380180173426e-05,2.3582999973498617e-05,15.90201405290774,0.4610218350469646
Ridge,22d,2.1715707114649984e-05,1.377366096657341e-05,16.746755787154964,0.3334622021046729
BayesRidge,22d,2.164279117931951e-05,1.379511017402038e-05,16.720014102389182,0.3358013526515363
RF,22d,2.343525477445088e-05,8.060049465863379e-06,17.464262035779946,0.3035392037408394
XGB,22d,2.3298578797022866e-05,9.934357659655963e-06,17.51443582697097,0.29829182675463073
CatBoost,22d,2.2818358615658213e-05,1.2412516271961207e-05,17.44962361387839,0.30403091457616616
HAR-RBV (Baseline),1d,9.986508273402756e-05,7.632889380044817e-05,23.128917598797663,0.32234735187358177
HAR-RBV-IV (Baseline),1d,9.770803930715819e-05,7.519038910352008e-05,23.056880651211426,0.3387648341843159
HAR-RBV (Baseline),5d,4.534609583268939e-05,2.8822273440571153e-05,16.992358249269113,0.39962766718079223
HAR-RBV-IV (Baseline),5d,4.3254300759637806e-05,2.7549026886204184e-05,16.82577890086679,0.4317847334039828
HAR-RV (Baseline),22d,2.4021090816967952e-05,1.5250801125245506e-05,16.597445110278187,0.27454968943437186
HAR-RV-IV (Baseline),22d,2.205375316747007e-05,1.3807529300072495e-05,16.869026779049694,0.3239362701047732
ML Ensemble,1d,9.827368720421091e-05,,22.59397128786217,0.33525105762981044
ML Ensemble,5d,4.2582588757692555e-05,,16.33000015553752,0.4460685944137154
ML Ensemble,22d,2.2095511152875016e-05,,17.04354709620658,0.32749965160064587
