Date,Dividend,Type
2021-05-06,1.013597,Dividend
2022-05-05,7.433048,Dividend
2022-09-08,2.702926,Dividend
2023-01-05,2.702926,Dividend
2023-05-05,23.650606,Dividend
2023-06-08,8.446645,Dividend
2023-07-06,8.446645,Dividend
2023-08-04,8.446645,Dividend
2023-09-07,8.446645,Dividend
2024-05-08,43.922554,Dividend
2024-05-17,94.77884,Dividend
2024-06-25,98.737114,Dividend
2024-07-19,103.25637,Dividend
2025-01-27,21.746875,Coupon
2025-05-09,54.785866,Dividend
2025-07-07,21.153807,Dividend
2025-08-07,21.496271,Dividend
2025-09-05,21.905062,Dividend
2025-10-07,22.315956,Dividend
2025-11-07,22.779226,Dividend
2025-12-05,23.312702,Dividend
2026-01-09,23.889208,Dividend
